place,mean_visit
롯데시티호텔 대전,[1.   1.   1.   1.   1.   1.33 1.  ]
대청호 로하스 캠핑장,[1.   2.   1.   1.67 1.   1.   1.  ]
대전라마다호텔,[1.   1.   1.43 1.43 1.38 1.56 1.  ]
인터시티호텔,[1.33 1.   1.5  1.   1.67 1.   1.  ]
토요코인호텔 대전정부청사앞,[1.25 1.25 1.   1.33 1.   2.   1.  ]
호텔3월,[1.62 1.29 1.11 1.1  1.25 1.39 1.09]
호텔 그레이톤 둔산,[1.2  1.   1.2  1.25 1.25 1.   1.  ]
홈플러스 유성점,[3.75 4.   2.5  2.5  4.   9.   2.5 ]
코스트코코리아대전점,[12.   9.5 11.   4.5 12.  12.  14. ]
이마트 둔산점,[ 8.   7.   7.5  5.5  4.  12.   6. ]
이마트 대전터미널점,[3.67 4.67 9.   2.   6.5  8.   7.5 ]
롯데마트 노은점,[2.5  2.   2.5  3.75 2.25 2.8  6.67]
이마트 트레이더스 월평점,[10.  13.   7.5  7.  14.  22.  12. ]
롯데마트 서대전점,[4.25 2.8  3.25 3.75 3.   5.75 2.25]
세이브존 대전점,[3.5  1.75 2.57 3.   3.   2.   2.33]
롯데마트 대덕점,[ 8.  10.   7.5  4.   9.   9.5  6.5]
홈플러스 대전둔산점,[2.75 4.25 2.4  4.4  3.5  3.75 3.  ]
언양기와집불고기,[2.29 2.6  2.25 2.5  1.67 3.   2.56]
베테랑 바베큐,[1.55 1.43 1.38 1.4  1.14 1.67 1.5 ]
바다바라기,[2.   1.25 1.67 1.2  1.23 1.6  1.71]
반올림피자샵 울산남구점,[1.   1.   1.33 1.   1.   1.   1.75]
반올림피자샵 울산중구점,[1.  1.  1.5 1.  1.  1.  1.5]
헤이다이닝,[1.67 3.2  2.8  3.67 2.75 3.8  2.6 ]
헤이메르,[2.89 4.33 3.14 3.5  2.67 5.33 5.6 ]
조민석의청년갈비 삼산본점,[1.   5.   1.   1.   1.   1.33 1.  ]
언양불고기한마당한우촌,[1.   1.14 1.   1.   1.   1.   1.  ]
테이블세터,[1.   1.14 2.   2.   1.57 2.09 1.56]
카페 수피아,[2.   1.67 4.   1.75 1.4  3.   3.44]
어글리스토브 울산더테라스가든점,[1.38 1.25 1.   1.1  1.4  1.67 1.28]
인얼스커피 울산동구점,[2.14 1.25 1.33 1.12 1.38 1.33 1.43]
빈티큐,[1. 1. 1. 1. 1. 1. 1.]
앙뚜케이크,[1. 1. 1. 1. 1. 1. 1.]
롯데시네마 울산,[1.25 1.12 1.36 1.38 1.43 1.59 1.5 ]
태화강국가정원,[1. 1. 1. 1. 1. 1. 1.]
울산대공원,[1.   1.14 1.   1.   1.67 2.23 2.27]
울산애견공원,[1.  1.  1.  1.  1.  1.  1.5]
포니랜드,[1.   1.67 1.   1.   1.   1.   1.  ]
울주해양레포츠센터,[1. 1. 1. 1. 1. 1. 1.]
요트탈래,[5.   3.   3.   3.25 2.17 3.6  3.14]
휘폴수영장,[1. 1. 1. 1. 1. 1. 1.]
신신낚시 무거점,[1. 1. 1. 1. 2. 1. 1.]
서프홀릭 울산점,[2.33 1.2  2.67 2.67 2.56 2.62 3.8 ]
호텔현대 바이 라한 울산,[1.75 1.   1.   1.   1.4  1.5  1.33]
롯데호텔 울산,[1.   1.   2.   1.   1.   1.75 1.5 ]
샌디아온천,[1.5  1.5  1.4  1.   1.11 1.34 1.  ]
캠핑월드,[1.1  1.   1.5  1.75 1.18 1.58 2.08]
롯데시티호텔 울산,[2.   1.   1.   1.   1.   1.67 1.  ]
작천정별빛야영장,[1.  1.  1.  1.  1.  1.  1.5]
신라스테이 울산,[1.2 1.  1.  1.2 1.  1.5 1.5]
스타즈호텔 울산,[1.25 1.   1.22 1.   1.2  1.17 1.  ]
들살이오토캠핑장,[1. 1. 1. 1. 1. 2. 1.]
롯데마트 울산점,[ 7.   4.   4.5  8.   5.   9.  15. ]
코스트코코리아 울산점,[ 9. 17. 12. 11. 13. 10. 17.]
홈플러스 울산점,[ 9.  10.5  5.5  4.   9.5  4.5  7. ]
이마트 울산점,[ 5.   5.5  4.   2.   8.  16.   9.5]
롯데마트 진장점,[3.67 1.67 2.5  6.5  3.67 7.33 5.  ]
홈플러스 울산남구점,[ 8.   5.5 10.5  4.   5.5 10.   6.5]
메가마트신선도원몰,[1.75 3.67 2.5  2.5  3.6  4.4  4.25]
세이브존 울산점,[2.25 2.14 3.57 2.   1.4  2.75 3.5 ]
홈플러스 울산동구점,[7.5  5.   6.33 6.   5.   6.5  5.  ]
홈플러스 울산북구점,[4.   2.17 2.8  3.5  1.67 2.17 3.4 ]
